,Alas,Indo,Domain
974,Turan turaq menjawab madah ate ku sakit menaruh gundah kuge cerdikmu kapir bestari intan khut emas kami kau beri,,History
975,"sengkikhe ne get ateku tebhe kaepe malet Mahan aku menyesal pudhi pasti ku dhapeti ,",,Story/narrative
976,Tembak menembak hulu baling ne dengaen de raje lain agame kapir meguling rebahlah sudah kudene lompat tinggi dan rendah,,History
977,kae si sedang menganjal bagas pikekhen mu,,Story/narrative
978,de merawat anak e bosihken pekhati ken man ne de dak gat bau iye,,Instructions
979,motokh si penting menukhut ku sebab motokh hakhus le,,Story/narrative
980,Buwelah mate kapir nasrani medan pe terang hamper go sunyi terang ne kalah enggo manyate made nai hambe panjang cerite,,History
981,kakhene let keselihen khut kesalah pahamen,,Story/narrative
982,kae si menjadiken suatu wakhi menjadi wakhi tekhbaik si penah let?,,Story/narrative
983,Ni bagas telage api yang singgang khaje yarid pegundah tersingkang. Soh me ajal ku dengen segere ne badan endak geluh nange ni sangke,,History
984,Made lot mate ni kandung tanah ate ku hancur bhage ni panah bumi ku dedoh khase tenggelam sesakhi pe bali gelap ne khut malam,,History
985,"akibatne mbue masyakhakat khusus ne Suku Alas bahasa Alas semakin wakhi semakin bhene, meganti khut budaye baru tekhmasuk bahasa",,History
986,akhus pergaulen metambah pengalamen v akhus nie kembang Ken  akhus ukhok mecekhok khapet me teman,,Instructions
987,"model lagi kesukaen ku bage lagi pop, lagi daekhah alas khut lagi dangdut",,Story/narrative
988,Wakhi pego lewat setengah hari Kapir karukun gelar ne edi Basi ne tajem bandingen larang Begedi me Kate kalak mengarang,,History
989,"de kau dang bagas film, kune karakter mu",,Story/narrative
990,waktu pekhatame kali ku dapet aplikasi nde dengan cakhe atope impokhmasi dari dosen dengan cakhe mengikuti pelatihan langsung tentang aplikasi nde,,Instructions
991,ketambe ni gukhak khut gotak silayakh,,Instructions
992,emosi te buah akhi hadapi dengan senyuman plin ngo,,Story/narrative
993,"malet sependapet khut tukhang, gat jadi pekhang",,Story/narrative
994,yaedi dengan cakhe berpikekh lebih tenang positif,,Instructions
995,maket kisah si menarik ne v da yang penting go kidah bage sendah dunie,,History
996,gelkakhne cimpe khasene taboh te gat minuman godekh,,Culture/Tourism
997,Islam mengket me daerah ku karene nenek khut Kalak kami go Islam,,History
998,Hal si bahan aku pang adalah kakhene ni dunie nde mlt ise v si paling aku biakhi selain Allah dan si bahan aku pang adalah dukungen okhang tue ku si paling mebue dokhong aku agar tetap maju,,Story/narrative
999,kontribusi kae pelin si dapet kao tawakhken untuk lingkungen ni sekitakh mu,kontribusi apa saja yang dapat kamu berikan untuk lingkungan sekitar mu,Story/narrative
1000,cekhiteken tentang konten kratir fafokhit mu?,,Story/narrative
1001,biyakh aku kene ke buali kene keceweken pul edi jadi ken ne pelampiyasen ne,,Story/narrative
1002,Buwe lah kapir mate tenggo nem nih bunuh ali pahlawan perang bage ken kilat ni datas awan kapir menentang silo silo en,,History
1003,"lot edi sebab ne kene kae iye e gat nemu ueas ate neee , bede-bede da jeme mde pe",,Story/narrative
1004,kakhene kalak butuh kas untuk tadi sejenak melupakan dunie,,Story/narrative
1005,pandangen ku tekhadep kematien ialah ulang pokus si medunie kakhene kite v mate nge sudah ne,,Story/narrative
1006,de edi tanggung jawab ne belin kase gasuh anak khut suami ne,,Story/narrative
1007,pekhubahen mbelin ni sejakhah manusie,,Instructions
1008,tekhe ndak lot cinte ee de malet me nggo kakhem gat dunie ne edi gune ne let cinte nde,,Story/narrative
1009,cekhite tekhbaik dakhi sekolah ku adalah didape aku mendapatken prestasi didepan khang tue ku dan mendapatken penghakhgaan oleh gukhu ku edi me cekhite tekhbaik ku dakhi sekolah ku die,,Story/narrative
1010,Jumadil akhir pule bulan ne,,History
1011,"Leuser di Kutacane, mbue hewan si mu kite ato langsung bhe dheleng kas ne",,Culture/Tourism
1012,"ulang tekhidhah Dhe kite kelok mejase ne bhane,ulang tuntut ulang Kane hakhap Ken imbalen",,Story/narrative
1013,sebhab jemene jujukh Ndak penah pot nambahi cekhok Dhe cekhite,,Story/narrative
1014,wakhi terakhir aku khut khamah ku jalan Soh bon,,Story/narrative
1015,begedi me kite geluh nde gedi kadang gedi lh v gedi tule,,Story/narrative
1016,kukhang ne kemampuan membace khut menulis,,History
1017,cekhiteken mangan bongi mejile ko kap ni kota,,Story/narrative
1018,kune keadaenmu sendah de secakhe finansial khut pendidikkenmu lebih dakhi sendah?,,Story/narrative
1019,"ketike sen kite lot si Nemu nukokh kae natetepe untuk khang tue si kite sayangi si Nemu Mahan iye bahagie, selain Edi kasih sayang nepe mlet penah bekukhang bante",,Story/narrative
1020,"si get ate ku mengenai budaye ku,petame pelebat, pemamanen,ngekhane,,kenin pe da bue ne pertanyaen kenin bangku akh",,Culture/Tourism
1021,kasih sayang si malot me batas memang sen pe penting sendah nde,,Story/narrative
1022,aku menekhime keaden ku kae pe Edi si ku alami saat Ende,,Story/narrative
1023,"bahasa indonesia sangat penting dlm kehidupan sehari,,",,Culture/Tourism
1024,"kegeluhen ne, ketike lot kane kegeluhen ne edi me bakhu laki-laki ngulah mekhamah bualine bekhu ne, akali ne bekhu ne",,Culture/Tourism
1025,Nakan ku simpan enggi ade ne bage me cinte ni bagas dade hasan menjawab kabar dan peri bege ken cerite hambe kabari,,History
1026,kune cakhe me bahani tugas/ bahanen mu,,Instructions
1027,aku pot ne bage Kalak Kalak ee geluh bahagie ye khut keluarga ne,,Story/narrative
1028,Anak kunci pule ni cabut kene peti peter buke pade mase ne ni lepas kene pandang yang terang me bungkus dengen kain yang jarang,,History
1029,main khut imbang nampang khubat  aduken gat ke mamak,,Story/narrative
1030,aku taidung ni tembulan mange khumahku dapet simpang telu mengket gang,,Story/narrative
1031,"malet ukhok bahase inggris, edime momen si paling makan aku mele",,Instructions
1032,dengan cakhe mencabut layar petame dan memasang layakh si bakhuuuuuu,,Instructions
1033,wao v that akhang ganti mu sea aku nah editerjakhdaji kidah site u,,Instructions
1034,"tempat ne nyaman, si baik ne lah sehingge kite v nyaman mebahan",,Story/narrative
1035,langkah ku laus me pekan petame adalah menyiapken sen untuk nuko minyak,,Instructions
1036,takhien ni adat alas edime takhien belo mesusun,,History
1037,Bagas geluhku hal paling penting kedue khang tueku sehat dan harmonis,,Story/narrative
1038,ni Made ndube buene khintangen Bagas geluh,,History
1039,kenak keja kami kale di geri daa paskenak keja,,Story/narrative
1040,pariwisata budaye nde perlu ni kembangken untuk tujuen melestakhiken kebudayaen,,Culture/Tourism
1041,cekhiteken bagaimana dampak kepercayaan dan praktek agama pada jas gas,,History
1042,penangan tradisional si sedap edime gelame khas alas,,Culture/Tourism
1043,kae sebab ne kalak gat mengateken hal si menyakit ken kite,,Story/narrative
1044,"kheken sen khut tenage, pikekhen pe apebhile nipekhluken ne",,Story/narrative
1045,sampaiken kae plin bagien budaye kao si paling ndak kao bangggeken,,Culture/Tourism
1046,Tabe pasuken se orang pang lime pige laskar pige kane pahlawan ne sokhte laskar handai dan tolan terlalu dekah ie ni dalan sekalien laskar dengen panglime watas arab negeri yang lame,,History
1047,ka plin si bahan kau mekhase gat gedi hebat?,,Story/narrative
1048,cekhite ken tentang tradisi atau si gati ni lakuken ni budaya kamu si get ate mu,,Culture/Tourism
1049,mungkin sehat mungkin lebe go jadi alm,mungkin sehat mungkin sebagian udah almarhum,Story/narrative
1050,aku hoye mudali naleng fine v matabih ate ku made ku mungkar,,Story/narrative
1051,malet cukup kude ne  hut paha nee tangis kalak,,Culture/Tourism
1052,ape bile okhang tue lot anak ne anak laki lot anak khu pe mbue wakhisen ne,,Culture/Tourism
1053,Pakenen mentar  pade mase ne ni belakang hari pade ade nye muhammad ali hanafiah lawan mehubung putus endak dapet nange ni sambung,,History
1054,ketekhe cakhe kenin menyelesai Ken masalah nin,,Instructions
1055,sangat mendukung budaye ni kutacane nde,,History
1056,pengelemen ku Bone mbuee nipe kas wisata eeee,,Culture/Tourism
1057,hari terburuk q Edi hari ni pas aku ndabuh ni Honda akhi,,Story/narrative
1058,dikhi ku mantap te aku pam yang akan akhen edi ne aku pas ngat pagi di kan aku pe gdi ngw diey,,Story/narrative
1059,cekhute sejakhah si paling penting adalah tsunami pada 2004 di sehingge mebue kenangen kenangen sialet telupen kenn,,History
1060,"hal-hal ato pe pekhkakhe si mahan ate senang belajakh bahase lain, tentune lot tujuen si sikel nicape",,Culture/Tourism
1061,"cakhi tau,dan pokus untuk si kite gakhami ulang mudah menyekhah",,Instructions
1062,dengan cakhe bantu ye kae si pekhlu ne tanya,,Instructions
1063,Cakhe ku gakhami kas mangan adalah dengan khoh me dapukh lekakhi sange siap di buet ken nakan,,Instructions
1064,"de pesenat ken, pakek, njagai, mangekhi, pemamanen, jinto kude, lebe tangis dilo, lot lebe melagam, lot si pekawin ken, antat takhuh, ni canangi, jinto kude, pekibod ken, ni pangekhi, bunge sumbu ni takal",,Culture/Tourism
1065,tegas untuk ngukhus keluakhge sayangi keluakhge nafkahi keluakhge khut wajib tanggung jawab untuk keluakhge,,Story/narrative
1066,Be padang hanain engko sileken segale kafir engko habir ken baginde ali Jawab dengen baik lah aku berangkat dengen suke lah.,,History
1067,Ni keliling gajah ni pasang jerat sengkire kene badan melarat ni datas gajah rante me bilang khante ne gedang made wewayang,,History
1068,"ni Bagas khumah anak si paling cut ne kene anggap padahal lot tong engek en,kakhene manje ku Kate khang tue",,Story/narrative
1069,Lebe imbang pe bage tutuh leye iye Hamin mu turuti de kite malet ingin ne di Kase de jeme gedi malet pot su aku menimbang khut Kalak gedi manek i,,Instructions
1070,aku penah kene tipu khut kalak go pecaye kite bane eh malah tipu ne kite lakhi ye malet nae ye pe khoh bayakh ne utangne,,Instructions
1071,pet nolong kite ni waktu kite susah ato pe senang,,Story/narrative
1072,"sangat ndenoh, ni dape ayahku senakhen mempekhatiken ku",,Story/narrative
1073,yaedi dakhi dosen ku habis Edi khut pelatihen aplikasi nde,,Instructions
1074,gegakhe Cito amin pe bage pegeduh gat sue khubat jadi ne kotoh,,Instructions
1075,ngoh mangan Kao ma Kao pang ma Kao phot khut khalak,,Story/narrative
1076,kae plin hal si menukhut kenin menjadi pekhulahen mbelin sejakhah,,History
1077,pemekhintah ni kute cane nde adil khut bijaksane,,History
1078,Mate ne umat made sidikit setengah luke menanggung sakit perang ne belin wallah hu alam cimber senjate enggo de kelam,,History
1079,"si ku ingin tau i rentang aku belin jadi kae pot ,gedi me da malet ku thoh ne",,Story/narrative
1080,gakhami chip pido se sedekah me Kalak red khe ne kin made,,Instructions
1081,menukhut ku mase depan Teknologi semakin canggih kakhene SE ikhing pekhkembangen jaman,,Story/narrative
1082,kae plin si kamu bahanni te let sesuatu ni fase bosan ni bagas hubungen mu,,Story/narrative
1083,"kune cakhe mu nebut ken se uwe, ni suatu kas atau hal si kamu nangat",,Story/narrative
1084,efek pekhak dingin salah satune medampak tebeken pekhak saudakhe si tejadi tebeken negakhe-negakhe tetangge,,Story/narrative
1085,Pakenen de dari rasul budiman tebe anak du jadi genggamen dari nenek ku bagindr rasulullah dengen segere ame ku simpan lah,,History
1086,melelo kerene mlt ngee toh biding te tong cut,,Story/narrative
1087,malot kenangen Kade v malot kutoh biding v,,Story/narrative
1088,cube cekhite ken kune pengalamen tekhindah mu si pekhah kamu alami,,Story/narrative
1089,ketekhe pendapetmu tentang tanggung jawab bekhu,,Story/narrative
1090,anak dukhake me khang tue te malet pakek pekhasat mende,,Story/narrative
1091,guneken bahasa isyarat Kase paham hewan e pe,,Story/narrative
1092,uweee akhh panek aku ngidsh kau no mak gune ne,,Culture/Tourism
1093,waktu aku dang cut kale kakhene sikel nyebut me aku si ni masalalu untuk kuat Soh tamat menjalanin geluh nde,,
1094,"cekhiteken tentang pendidiken dan pembelajakhen bagas budaye kendin,temasuk tradisi atope phaktek unik",,Culture/Tourism
1095,"kakhene ate ne ndak wayang masih ne, bage ngidah video kalak pekakhak ye, gat khut ye v pekakhak bekhati jeme ne mudah tesentuh",,Story/narrative
1096,memilih kawan malet pet mekhibang khut Kalak malet khate,,Story/narrative
1097,hal si mahan aku mengas kan kalak si mane'i ni dan malet pet mege ken cekhok,,Story/narrative
1098,gedi me khajin belajakh khajin menghapal khajin mebahan khajin pokok ne gedi me,,History
1099,mlt paham aku Edi te masalah end susuah miskin,,History
1100,menurut mejile tapi ulang asal nikah plin kakhe nikah di ibadah yang gedang,,Story/narrative
1101,ngato jeme sukses edi mahan aku tekhmotifasi sehingge mahan aku giat belajakh,,Story/narrative
1102,"te aku jadi tekhkenal mebue hal sikel kulakuken, contehne de tekhkenal aku mbue sen ku dan nemu kubabe khang tue ku, laus me haji",,Story/narrative
1103,Mechok khut jeme lot masalah eee selesai Ken khut ate baik,,Instructions
1104,"jinto kude,  kado mekhayak, pesta ne megah pakek baju adat",,Story/narrative
1105,ndape bahanen kalak nggo kite bahani edi,,Culture/Tourism
1106,kakhene kecewe malet pas kap ne kae si tekhjadi,,Story/narrative
1107,bekhu dinam khut silayakh nipisahken tapi ni jumpeken tule,,Story/narrative
1108,jau lah di kau masih kekasihku yang ada empat macam betul bahwa mereka tidak akan berubah yoh tetap tidak berubah,,Story/narrative
1109,kune kabakh alamat ne nigan lahekh ne nigan mate ne nigan ye metelukg ne,,Story/narrative
1110,sengkikhe ne aku petemunen mu Made kin pudi ken cekhoken mu,,Story/narrative
1111,cube jelas ken kae gat nemu ni kate ken lebih mejile buet ni pagi wakhi,,Story/narrative
1112,kenangen si paling bukhuk bagi ku ialah wakhi kegagalen ku si mahan aku kecewe khut segale hal,,Story/narrative
1113,Bimiet oleh mu dengen segeralh ulang takabur tebe ken allah kain si mentar engko tambat ken tangan si petep hendak ni temu ken,,History
1114,"bagas situasi sendah si ku amati kadang tren gaye anak sendah semakin menuju jaman akhikh jaman, bue kalak malot sehat",,Story/narrative
1115,cekhe hidup lebih baik adalah dengan tidak mege ken cekhok kalak lain,,Instructions
1116,gambakhe natau cekhite piksi si saya bahan untuk saat nde made pekhna pe,,Story/narrative
1117,cube jelas ken dape akhi kamu gat nemu metoh aplikasi ikata nde,,Instructions
1118,kakhne kuarga ku malet pot mengas selalu ceria khut ise v,,Story/narrative
1119,bue tuko buah pul edi mangan buah kane let tenage gat let perkembangan ni tubuh te,,Instructions
1120,menukhut mu hal kae plin si mahan kalak bacakh,,Story/narrative
1121,gakhami perhatien jeme khut kalak pebual,,Story/narrative
1122,"orang tue ,kebahagieen Bagas khumah tangge",,Story/narrative
1123,kakhene pelakhen si get ate ku kakhene munukhut ku polu untuk Mase depan ku te nege pe mudah ni pahami Mahan SE get ate ku pelajakhen die,,Story/narrative
1124,untuk tenang ken dikhi ne kase press otk ne,,Story/narrative
1125,Bahani mende ato mejile bahani bahanen ee kase berkembang iye,,Story/narrative
1126,cekhite ku sebenarne bue tp aku mele sebut se be imbang sekalipe imbang denoh,,Story/narrative
1127,bace,,Story/narrative
1128,menukhutmu kae si let kalak menjadiken binatang buas sebagei pelikharenne?,,Story/narrative
1129,cube sebut ken menukhut mu sendikhi kae sebab ne gat nemu kalak tersenyum,,Story/narrative
1130,Hulu balang khaje handak pulung disitu laskar kaskin pe enggo bersatu. Jibrail segere ni per sile ken be negeri madinah ie dapet ken.,,History
1131,si perlu kite tahui Edi adat istiadat  khut suasane ni kute edi,,Culture/Tourism
1132,"kakhene iye get ate ngidah se ,iye pe hoby melakhe se",,Story/narrative
1133,sabu khut lem khambing khut ganje mabok mabok khut naku,,Story/narrative
1134,Buke ken pintu de dengen lah cepat ulang lah gundah bagas ma'rifat aku de jibrail khoh kemakhi ulang saudare gentar dan ngeri,,History
1135,tekhe natemua akh daoe kokao pot geluh mu dalani ye,,History
1136,si bahan ni khumah ketike aku setiap waktu ni khumah Edi me bersih khumah khut sholat,,Story/narrative
1137,tukokh lebe alat ne makanen kae si kite bahanni siap edi te enggo let bahannene bakhu aduk,,Instructions
1138,khang tue kite penting ni geluh te sebab khang tue patut kite patuhi,,Story/narrative
1139,karene Aceh nde me provinsi serambi Mekah Edi me ni sebut provinsi khusus,,History
1140,"Wahe saudakhe kaum sahadah sile ken bubsa menginget allah sayyidina u,ar pule kire ne dekah ni dalan pade mase ne.",,History
1141,kakhene lagu pop kakhen lagu ne Edi mu bahan aku bahagie,,Story/narrative
1142,ketike kite mekhase mbiakh berakhir kite melakuken hal si Ndak mejile,,Story/narrative
1143,"khase aku jatuh cinte, senang ne ate ku dak melilah dan bahagie ni ate",,Story/narrative
1144,cakhe ne kite hakhus let kendaraen pribadi,,Instructions
1145,"hal si kubahan untuk atukhen khunah contoh ne jage kebersihen, hormati kalak si lebih tue kite akhii dan sayangi kalak si lebih cut kite akhiii",,Story/narrative
1146,"aku nangat kalihen aku jadi kalak bayak, kane nemu ku bajgien ken kedue okhang tue ku",,Story/narrative
1147,nemu kao cekhiteken pengakhuh media sosial khut teknologi komunikasi ni daekhahmu?,,History
1148,"jumpe khut imbang ku, jumpe khut guru ku, nuko ke kantin",,Story/narrative
1149,"kune nale me pwkhubahen iklim nde,kau pe me khakyat Indonesia,cube kau ato,kune kodah pwkhubahen ne, masing-masing jeme PE toh ne",,History
1150,wahe saudare sekalian kerine sabar,,History
1151,hari si sempukhne adalah hari jike segale ukhusen kite lancar dan dapet khezeki si halal,,Story/narrative
1152,tekhe pe sah dan meyakinkan melakukan penelitian di bidang ekonomi sektor perdagangan globalisasi,,Story/narrative
1153,"kakhene ulang setekhes, ulang gile, kakhene masalah e",,Story/narrative
1154,kae kalak nagat iye suatu nakan ne kakhene Edi sedap kadang Moh tule Edi di,,Instructions
1155,si petame ne kite pelajakhi be kase kite toh pul Edi enggo kite toh bakhu kite lakuken,,Instructions
1156,Perang baginde sangat menjadi bage ne mancung batang keladi bage hari mo logat ne garang,,History
1157,"khe magan,  jage kebersihen khe vitamin",,Instructions
1158,sedekh Hane malet pet su megaye malet mentel,,Story/narrative
1159,bahanen ku wakhinde sungguh melelahken kakhene membantu khang tue,,Story/narrative
1160,Saidina usman menjadi ganti jadi khalifah rakyat sepakati,,History
1161,"aku nangat terkenal kane aku Kalak baik,bacakh,bayak,baik ate malet sombong khajin membantu Kalak lain",,Story/narrative
1162,Kerine laskar panglime siap ken mulai perang hulu balang kate ken rasul bermadah pule ade nye wahe sayyidina ali pule kate nye.,,History
1163,bekhubah kakhene semakin anak e menekuni skill ato pe kemampuen ne khoh toh ne ni bidang kae iye khok jadi taboh kite ngajakhi Se pe,,Story/narrative
1164,kae plin si kao sennagie tentang jadi jeme nakhu nakki,,Story/narrative
1165,kite khahus jujukh geluh nde sekali amin kae si kite lakuken edi pagi si ni tuntut,,Story/narrative
1166,Tebe khaje khai bar panglime satu kerine laskar tading ni situ wahetuan kapir nasrani aku iting ken jalan sendiri.,,History
1167,"si get ningku dakhi khamah ku, contohne bage perhatien ye bangku masih ye bangku dan mbuee sii ki get ti tule",,Story/narrative
1168,uwe pagi nu dape kau sendah lain yang tidak nemi yang akan iwywwt yang tidak nemi yang akan iwywwt yang tidak,,Instructions
1169,"Dhe mege Ken aku mecekhok e gat pul Edhi nasehati ne aku,luakh biase me kidah imbangku e gat mantap ne ni mateku",,Story/narrative
1170,kane iye mekhase malet pas khut keputusen khalak,,Story/narrative
1171,ketike aku dang sekhik mlt ise pe pot bantu se aku,ketika aku sedang susah engak ada siapapuk yang mau bantu ya aku. ,Story/narrative
1172,mahani segale ulah tanpa let sukhuhen dakhi jeme,,Story/narrative
1173,"taboh amin gakhami kas mangan , nggo kin kite toh lot kalak jualen langsung pelin gat kite tuko bedi",,Instructions
1174,"kune PE keaaden ku Mase Sendah nde atau PE Mase kedepan ne aku tatap mesukh,tapi si ku hakhapken keadaan ku lebih baik ni Mase depan dakhi Mase ku sendahnde",,Story/narrative
1175,menurut Edi me tingkat Ken flin fitur aplikasi ende me ulang nange bahan lelet aplikasi Ende,,Story/narrative
1176,upacara berbakhis  mengket klas belajakh,,Story/narrative
1177,bekhu khalak mejile ku silengngi medecek pepehne,,Story/narrative
1178,"si ku ingin tau i tentang aku belin jadi kae pot ,gedi me",,Story/narrative
1179,tong kite mude nde bue plim ibadah kitenakhen me Allah swt,,Story/narrative
1180,"pilih aplikasi play store, siap di da ketik ken adi aplikasi kae si sikel ko gakhami ngo buke gat pakek ikuti langkah ne",,Instructions
1181,"kite kharus mensyukuri hidup kite  contohne mangan , sekolah,minum dan geluh",,Story/narrative
1182,Cekhiteken kejadien sipaling memeleken ni bagas geluh mu,,Story/narrative
1183,kune care bantu sekalak jeme Kane dak iye males jase te,,Instructions
1184,"aku penah nukokh baju,kutimai mesungguh balik ne kepene sen ne pas malet pakek balik",,Story/narrative
1185,kae plin khencanemu tentang hubungen khut pasangen mu,,Story/narrative
1186,Karene husin di bantu allah ni tengah medan azal sampe lah ni di atas bangke kude  berlari sitok pe made gentar dan ngeri,,History
1187,"kakhene guru ne mejile pekhasat,mejile,jakhum halus tule",,Story/narrative
1188,"ye pasti menanyakrn kae sebab aku pekhak setiap bongi, Kakhene ye kas ku ngadu",,Story/narrative
1189,maka pihak wali bertanya,,Culture/Tourism
1190,si bahana kalak pintar Edi iye khajin belajar khut iy Ndak sombong,,Story/narrative
1191,membosihken ne karna de dak bosih iye kan sakit khut khe iye man,,Instructions
1192,nangat iye te kenal kaeken yang penting kite tunjuken prestasi khut ke hebaten kite,,Story/narrative
1193,tentang kisah cinte ku si kene tadingkenkakhenne kemiskinen ku,,Story/narrative
1194,cekhite ken tentang konten kreator favorit mu,,Story/narrative
1195,mase dang anakÂ² kale edi sebuah kenangen si Ndak telupe Ken seluruh Kalak pasti lot Mase cut ne,,
1196,de hobi ku edi me menyanyi de ngo lot kybor kalak pekojeken ataupe senat,,Story/narrative
1197,"si kudah ne peran kesehatan ni tanoh alas nde edi tong menengah, sebab mekhayak tong kalak sakit ni aceh tenggara nde malet tetangani nu khumah sakit ande",,History
1198,let sekum ku oecah ken sekum gat di mantap men ken kalak di bg,,Story/narrative
1199,kedue kae plin si ni poluken untuk kegiaten di baik bahan ne khut alat ni poluken Kane kegiaten berjalan lancha,,Instructions
1200,melelo Bancih melelo kelekbe v melelo karet,,Story/narrative
1201,Rupene elok Made buweten karene pakeken bertatah intan lot ne PE junjungan gudang hikmat adinde mohon sembah dan hormat,,History
1202,nemulah kane bahasa indonesia e bahasa mantap khakhus jadiken bahasa dunie,,Culture/Tourism
1203,iye ngaku otoritas kalak hongkong termakan isu terorisme,,Instructions
1204,"UAS side pendakwah paling tenar, mekhayak kalak macik ate sikel munuh ustad e",,History
1205,"te kite malet sependapat atau PE malet setuju akan sebuah hal otomatis kite Kate Ken Ndak,Mak mungkin gat malet PE kite setuju gat langsung kute Kate Ken uwe,kae si malet kite suke maso Kate Ken uwe kateken pelin ndak",,Story/narrative
1206,ketekhe kandu dapet mebahan dikhindu kembangne,,Instructions
1207,"mukhah, ise ndak pet numu tawakh, de ndak khe ne kukhang letun me kde lain",,Story/narrative
1208,Junjungan adinde dunia akerat petep khasene tali qudrat badan berduwe tading seorang umpame intan putus pengarang,,History
1209,mehkupaken kejadian belin ni aceh,,History
1210,"melalu jualen,cekhamah ,khut nawakhken bakhang bhahanen ne",,History
1211,kene mengasi Kalak di  aku sayanggi khut Mahan sui ate,,Story/narrative
1212,bue ilmu si pentingne ilmu agame edi me si pentingne,,Story/narrative
1213,ndak ale me senang kakhene iye baik me kite,,Story/narrative
1214,cekhite ken kune kami gat nemu jumpe khut imbang mu,,Story/narrative
1215,kakhene ku khase menguneken aplikasi nde dapet menambah wawasan pelajakhen dan dapet Kane menambah pemasuken dengan cakhe mengumpulken poin,,Story/narrative
1216,kenangen ai mahan aku senang salah satune saat aku bahagien khang tue ku khase ne aku pe kgut bahagie dan nangat aku tule ngulangi se kenangen edi,,Story/narrative
1217,cekhite ken hal kae plin si nemu mahan kamu nadi pekhak,,Story/narrative
1218,"te kamu menulis sebuah buku, tentang kae judul ne kamu tulis ni hadi",,Story/narrative
1219,mame ku si bantu aku masuk ke kampus Edi me soh bende cekhite ku,,Story/narrative
1220,hal hal si polu ni Poto ken ee si malet Nemu kae si Poto,,Story/narrative
1221,"te misal ne kamu nemu mengubah satu hal tentang cakhe mu ni belin ken kularga mu, kae plin hal si nangat kamu ubah",,Story/narrative
1222,"mejile,ndk wayang sikap nde kepekhcayaen agame tebhe daerah ato negakhe kami nde wali PE mbue Kane si sesat tapi malet kekhine si luakh jalukh akhi",,History
1223,misalne kite khe kucing mangan pasti paham ye Bante bahwe kite masih mane,,Story/narrative
1224,"mas khomplik si gati terjadi mulai salah pahan,  malet nae buah dalan gat kitepe si khang lot kane dari keluarga si dak pas keluarga di malet tetah",,Story/narrative
1225,ikan ni laut pe pule same lah,,History
1226,lalu pihak wali memberi kan kata kata nasehat,,Culture/Tourism
1227,Husin menjawab dengen segere sila ken tuan ysyl perwire medalan mi ie berbuang langkah lime belas wakhi soh me mekah.,,History
1228,"laus me mpus, lajang me ketambe",,Story/narrative
1229,Sedang sembahyang ingeten satu lailaha il lellah ya tuhan ku malam jumat pule terjadi ne tahun empat puluh menurut hijahne.,,History
1230,ketekhe pekhasaen ketike ni tadingken jeme si ko sayang,,Story/narrative
1231,uwe masakhakat cinte me bahasa Indonesia,,Culture/Tourism
1232,kane jagai  ame ne ato jagai kalak kawin,,Story/narrative
1233,taboh kite milih mu kite gelem mu kite tawakh,,Story/narrative
1234,kune kau mepikekh kau akan sukses kedepan ne,,Story/narrative
1235,kune cakhe ne kamu gat nemu pokus ni kas kalak tekhem,,Instructions
1236,cakhene jage daekhah kebudayaen kite nde,,Culture/Tourism
1237,gakhami gantimu jadi pan pinang gt khoh iii ne kubukh mu aku v,,Story/narrative
1238,kakhene dengan bahasa kite Nemu berhubungen khut berkomunikasi sesame kite tanpa memikekhken pekhbedeen latakh belakang sosial khut budaya sebuah khut lain ne,,Culture/Tourism
1239,"daun kami ni kutecane nde mbue bhulung-bhulung kayu akhi,",,Culture/Tourism
1240,"pakek Hamin senakhen ,te ajakhken tebhe anak te bahase daekhah",,Culture/Tourism
1241,baju si gati kene pake ni daekhah ku edi campukh-campukh sehingge malet cidah adat ne sitok pe,,Culture/Tourism
1242,khamah mu sehat khe amek mu balu wkwkwkwk biang,,Story/narrative
1243,"tentang ma'e pa' keluakhge kekhine, ngajakh Ken ulang melawan me khang tue",,Story/narrative
1244,"si ni butuhken, niat si belin,  ide kite, ketabahen kite,  gagasen kite,  niat kite dan selelu berkeja khekhas ulang penah mengeluh dan tetap semangat","yang dibutuhkan, niat yang besar, ide kita, ketabahan kita, gagasan kita, niat kita dan selalu bekerja keras jangan pernah mengeluh dan tetap semangat",Story/narrative
1245,kane prestasi kite tekenal sendah bue khalak gakhe sensasi,,Story/narrative
1246,kakhene ngo was ate ne kene bahan kalak e,,Story/narrative
1247,mesalah keluakhge masalah hidup khut fisik pribadi,,Story/narrative
1248,ulang kin kelok su mepikekh si tekhjadi e tekhjadi ne ulang ni sesali kae si tekhjadi sebab edi nggo ni gakhis ken tuhan kae si tekhjadi,,Story/narrative
1249,keluakhge e bage khumah Adi kite khut khut kas ngadu keluh kesah masalah geluh,,Story/narrative
1250,Kene tading ken dak ni peduli Ken malet Kene peduli ken,,Story/narrative
1251,Sekalien lascar sanak saudare hilang me akal anak ngegeri baniakhe padang karbale khase tenggelam made nae hambe berpanjang kalam,,History
1252,kae pelin khencane mu tentang hubungen mu khut pasangan mu,,Story/narrative
1253,Bagas bulan puase nde bue su khintangen ne nu melohe,,Story/narrative
1254,kae plin si kau laku Ken wakhi nde ni sekolah/kas kau mebahan,,Story/narrative
1255,bahagie te nemu lua khut imbang nemu jumpe khamah,bahagia kita jumpa luar dengan kawan dapat jumpa pacar,Story/narrative
