,Alas,Indo,Domain
1541,pengalaman ku go Nemu aku takhik paket 3 GB ngato tik tok gat,,Story/narrative
1542,suakhe si kekhas si Mahan khisih sehingge Mahan Ndak tenang,,Story/narrative
1543,"bahase inggkhis,khut agame ,sebhab agame nde mimpin kekhine",,Story/narrative
1544,nukokh khesep ne bibit ne,,Culture/Tourism
1545,semakin buwe motokh semakin macet cane de,,Story/narrative
1546,si ku etoh ni bages aku begar Edi me mengaji,,Story/narrative
1547,Aku mengkhase mbuee peluang karene de soal finansial Edi salah satu pendukung pendidiken Kane khut buaah akhi dukungen khang tue,,Story/narrative
1548,padahal khang tue ne nggo mbelin ate ne me anak laki si mepangkat ge tapi anak ne malet cinte,,Culture/Tourism
1549,sedang bue sen khut kae si kite impiken tecapai,,Story/narrative
1550,gakhami gantimu jadi pan pinang ulng mae buah dalan ulng mae haksjsb,,Culture/Tourism
1551,"wisata danau Toba, sebab ni hadih mencelhiteken tentang sebuah keluakhge Toba dan Samosir sepekhti film legenda ni bagas TV",,Culture/Tourism
1552,Nemu aku menyelesaiken masalah khut bahagie khut sehat khut keluarge ku ende,,Story/narrative
1553,kae gune ne aku laus bedih iye akn pe kas kune bahwne aku pe gedi die kauamkn si aku kuepej ieye ne ngat nateku sendah nde,,Story/narrative
1554,"kae cekhite atau kisah si biase kao bagiken me kalak lain ketike sepuk, cube jelasken be?",,Story/narrative
1555,dampakne media sosial nde nemu mendauhken,,History
1556,kune me gedi asalkan ulng  gat mengas nak khe Ken plim gedi da,,Instructions
1557,ketekhe cakhe kau selese ken tugas mu,,Story/narrative
1558,kae pengalamen mu atau v kisah si paling menginspirasi kao?,,Story/narrative
1559,cakhe ku mempelajakhi sesuatu ku gakhami mi be cakhe ne kune kase aku mengerti tekun khut yakin Ken Bagas dikhi bahwasen ne kite e khok,,Instructions
1560,let kalah khukum cambuk khut  taangn maket tentu tyhu,,History
1561,khe mangan khe daun khe poding si polu kalihen,,Instructions
1562,menukhut mu kae pelin hal si macik ne si mungkin terjadi ni bulan nde,,Story/narrative
1563,kene kae gat buat pagi lebih mende tebeken lain ne,,Story/narrative
1564,menghibukh diri bage nyanyi atau lajang khut imbang,,Instructions
1565,manyat ne tading ni medan perang hambe kabar ken supaye terang sorte ne mengket tebe ken kute tebe negeri madinah soh mepule,,History
1566,nggo kase ni bagi 3 anak laki hakhte wakhisan ende ge ni bagi khate anak ne si anak laki nde ge,,Culture/Tourism
1567,enggo me surut mahkote ratu,,History
1568,"ni supermarket lengkap biasene,si ku khaseken pe job aku bedi malet penah kosong bakhang kae si aku tukokh",,Story/narrative
1569,khumahne datas pakek papan lhet kane lebe pakek sakhuh,,Culture/Tourism
1570,de sengkikhe ne aku salah ulang nae Kao peluah Bagas ate dak,,Story/narrative
1571,kapir berhenti enggolah nyate kude ni pacu ken sultan mahkote waluh sete lebih dan kurang,,History
1572,khoh dauh ne khoh payah ne jawab se malet Soh bedi pendapat ku,,History
1573,si biase ne ni budaye kmi kebiasaan kami ni khang alas nde melakuken pemamanen,,Culture/Tourism
1574,malot nae cocok antakhe keduene edi mahanse gat cekhe khalak di,,Story/narrative
1575,jam 5 pagi aku go buet untuk sembahyang subuh pul edi bakhu masak untuk mangam pepagi e pul bakhu siap siap untuk laus mebahan,,Instructions
1576,saling sindekh sindekhen edi gat mahanse mulai khubat,,Instructions
1577,careku untuk geluh lebih baik Edi me ndahui  narkobe khut judi Edi kite ndahui insyaallah geluh kite aman khut baik,,Instructions
1578,"te kite malet sependapat atau PE malet setuju akan sebuah hal otomatis kite Kate Ken Ndak,Mak mungkin gat malet PE kite setuju gat langsung kute Kate Ken uwe,kae si malet kite suke maso Kate Ken uwe kateken pelin ndak",,Story/narrative
1579,ni jantung tangan ne enggo kene dapet,,History
1580,"Ferdy Sambo, iyee jahat su membunuh Kalak si Ndak me salah babe, iye gegabah su malet ge Ken ne penjelasen anak buah ne Edi me iye sendah dituduh pembunuh",,History
1581,cengeng pemengas khut jekhagan hobi mengas mengas,,Story/narrative
1582,menyelesaiken masalah-masalah diskusi,,
1583,perhatien ajari iye imbangi iye ketekhe v iye,,Instructions
1584,kae plin khancanemu tentang hubungen khut pasangenmu?,,Story/narrative
1585,hobi mangan sayukh kakhene tekhdapet kandungen mejile ni bagasne,,Story/narrative
1586,"menukhutku hal hal paling macik ni dunie nde male buah pe,sebab te ukhok kite guneken fungsine masing-masing,Madigan pe jadi macik",,Story/narrative
1587,tentang adat budaya suku Alas ketika melaksanakan pernikahan dan Sunat rasul,,Story/narrative
1588,aku laus kuliah agar dapet ilmu nambah pengetahuan te sip plin ni khumah kae si kite dapet,,Story/narrative
1589,mido tolong me kalak te go tolong ne ulang lupe ken iye,,Story/narrative
1590,"sedih Kane he, malet mpung khang tue Buhung Kalak Bante",,History
1591,mangge bacang uso lqngsat ngete nangke cempedak,,Story/narrative
1592,"tokoh sejakhah contohne si menciptaken pesawat pekhtame ni indonesia, ielah Bj, Habibie",,Story/narrative
1593,bahasa Indonesie kahene mengaja kite bahase si salah khut benakh,,Story/narrative
1594,made adinde panjang cerite,,History
1595,lot aku jumpe khut dokter gile celake sepah wabe pot gat khasene ku lijik takalne,,Story/narrative
1596,dakhi hadi me ku idah ndak wayang perjueang ne.,,Story/narrative
1597,lot die ketike aku medalan ni kas jeme ntekhem gat tibe-tibe cepantuk,,Story/narrative
1598,"aku senakhen melele khut imbangku,soh digan ku pot",,Culture/Tourism
1599,yaedi dengan cakhe mempelajakhi menikhu tekhus menekhapken kae si kite pelajakhi,,Instructions
1600,ngato ngato ni khumah ninik kami sambil khidi khidi,,Culture/Tourism
1601,akhus mebahan khajin Kane Nemu kae si kite ingin ne tekhcapai,,Instructions
1602,Kute tekhsebut nipinpin oleh sebuah khaje cut si memekhintah ken secakhe tukhun menukhun te tunduk khut kejujukhen se bulan te setiap tahun ne megikhim ken pajak me sultan aceh dakhussalam,,Culture/Tourism
1603,"khajin mbace, khajin mbukai hape",,Culture/Tourism
1604,imbang ku si paling pekak malot toh ne kae v,,Story/narrative
1605,Ade diye sekolah mace pe seik kae Ken pelosok te kalsk tapi tepetejue Kase Biya kalak,,History
1606,menukhutku pekhubahen cantik e kune nemu menjage segale aukhat,,Story/narrative
1607,cekhiteken tentang gambakhen iklim budaye sosial ato politik dakhi priode waktu ato lokasi tekhtentu Bagas sejakhah,,History
1608,khoh kami me gedung aula pul edi ni sukhuh kami download ne,,Instructions
1609,melakhang aku mekhamah khu kau malet side setuju,,Story/narrative
1610,Sehat pelin mae ku sehat awok ku sehat aku pesehat gek kupe sehat,,Story/narrative
1611,kisah pertame nale nikabarken,,History
1612,"motivasi ku bagas mebahan  kakhene aku nangat jadi kalak sukses ni bidang ku ni, dape pe aku mabahan aku nangat mebahan bagas sebuah tim untuk memajuken kas mebahan ku sokhte meningkatken pengalamenku","motivasi di dalam bekerja, saya pingin kerja menjadi orang sukses di bidang ku dan dimana pun saya bekerja saya akan membuat tim utk memajukan kantor dan dapat meningkatkan pengalaman ",Story/narrative
1613,"dengan menjage cikhi khas daekhah ne,dan kebudayaen ne",,Culture/Tourism
1614,Seluruh laskar pakenen merah tebe padang karbale khoh menjarah ni medan perang soh me pasti sorte ne laskar ne beribu keti,,History
1615,putus khase ne tali bubuten,,History
1616,"main hp ulah ne, khayalen let khamah ganteng go ni muke khumah",,Story/narrative
1617,lah ape me kutoh malot penah ku tonton v malot ukhusen q Edi Tah Kade kade,,Story/narrative
1618,khintangen si ku hadapi sendah kemiskinen khut menempuh pendidiken,,Story/narrative
1619,cimpe ka khene edi penagan khang alas,,History
1620,"kae pelin si kubhahani wakhi nde ni sekolah /kas mebhahan : pekhtame belajakh mace bhuku, khikhe jumlah, khut ngukhangken bhilangen",,Story/narrative
1621,anak du tading mekhate gusar,,History
1622,"orang tue ku kakhene iye si mekhe aku man soh belin, jase side macet tebayakh kae pe",,Instructions
1623,mungkin lebih ngekhe pelin mengakses se Edi pelin tapi pekhtame ee ngo meburuk sangke aku me aplikasi ne ku gan malet nemu naee ngisi survei kepe se nemu tule kidah,,Story/narrative
1624,cekhiteken sendah kau mengalamai masalah khut ketekhe kau menanganine,,Story/narrative
1625,yaedi dengan mencube hal bakhu untuk mendapet pengalamen si mbakhu,,Instructions
1626,karene aku mlt setuju dengan hal edi edi mahan se aku mengatrken tidak,,Story/narrative
1627,orang tue karene orang tue sangat panting ni hidup te,,Instructions
1628,proses penikahen ni suku alas petame jagai telu bongi dan pangekhi,,Instructions
1629,kae gat Kalak tetawe ?,,Story/narrative
1630,hal si hakhus aku tingkatken edi prestasi ku hakhus aku tingkat ken,,Story/narrative
1631,tebe penjare ie ni mengket ken tangis ratap ne made te kate ken sari banun me ratap made berhenti petep rase ne ate yang sakti,,History
1632,ni negeri madinah supaye pasti,,History
1633,ketekhe cakhemu menang kritik kune hakune cakhemu mido sen me mekmu,,Story/narrative
1634,Aku khut sahabat ku jumpe kakhne pendidiken let Kane kakhne buah kute,,Story/narrative
1635,si paling petame kite lebih dulu untuk menyikhan lebe bakhu kite pupuk atau pe kite bosih khumput ne,,Culture/Tourism
1636,tarian belo  mesusun,,Culture/Tourism
1637,ketike aku batuk ni jeme ntekhem batukne medekhak,,Story/narrative
1638,"malet ,kukhang get ne ate,sebhab mbau kesah bhahanne,mbau ntut pe",,Story/narrative
1639,bue minum dan istirahat secukup ne Kase ndak pingsan,,Instructions
1640,"hal si mahan ate kesal kalihen, ketike janji malot nitepati, sikite hakhapken malot tekhcape bage pidonen ate",,Story/narrative
1641,ni buwet ken ringkas cerite najam,,History
1642,lot sebuah kamu sungkun ken,,History
1643,hal si kae pelin si dapet kao Mahan dikhimu senang,,Story/narrative
1644,"malet ku toh, semoge aku sukses Kane bangge khang tue ku",,Story/narrative
1645,agame khut tradisi malet nemu khut,,History
1646,tading me aku yatim piatu,,History
1647,suakhe Kalak mace merdu Mahan aku dapet mate bage ni sokhge,,Story/narrative
1648,ambongken sampah me kasne ulang bage khalak malot lot pendidik,,Instructions
1649,kerekhne malet sesuai ni bagas ate te makena malet kite pet,,Story/narrative
1650,"kae plin hal si kao get khut ndak kao ge, cube jelasken kake atau v abang",,Story/narrative
1651,hal si aneh ku khase  Bagas dikhi kae pe si hadapi senakhen mepikekhen positif Bagas Edi kekhine pecaye bahwe kekhine Nemu ku lewati Bagas geluh ku,,Story/narrative
1652,Mak gt ku Putut ii di bamu ee kune v si tekhjadi Bagas ate mu,,Story/narrative
1653,mebue manfaat ne kakhene Edi terbaik untuk tubuh,,Story/narrative
1654,sehabis/selese ne mangan tebekhas,,Culture/Tourism
1655,niyat mejile tapi kha jeki molot,,Instructions
1656,khante ne kuat enggo jelajah sengkire kite menyeru ayah,,History
1657,Babu Airah Medalan dengen lah cepat Husin sedang tandok bersile lipat ampun paduke daulat Bahari ni titah ken oleh baginde putri.,,History
1658,uis si mentar ni khakut kene,,History
1659,hobi si ku biaseken atau pe si bue di lakuken kalak Edi main bola khut main hp,,Story/narrative
1660,"tekhadisi adat si paling aku sukai tentang pemamanen,antat takhuh khut nakhuhken",,Culture/Tourism
1661,hal hal kae plin si enggo kamu bahanni tapi sejujukh ne kamu malet nangat untuk mahanni bahanen tersebut,,Story/narrative
1662,kae nimu gedi cocok kan seperti negeri si aku pot kebun raya Bogor km yang tidak,,History
1663,pake baju sekolah atope kae baju khapi mape sipenting ne pelin bage buku,,Instructions
1664,tawe khut jahan  nawai i kalak nampang de let sen get laus medalan,,Story/narrative
1665,raje kaisar kaisaren itu,,History
1666,malet ku ukhok jawab se payah su petanyaen ne,,Story/narrative
1667,si bahan aku merasa hebat Edi ketike aku senang ku bahan imbang q,,Story/narrative
1668,menukhut ku tantangen geluh ni mase lalu edi saat aku malet menguasai pikekhen ku mahan Se gat jadi tantangen,,Story/narrative
1669,suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas,sukses bahagia gada apapun yang kurang te ecek ecek nya keadaan ku berapa tahun ke atas,Story/narrative
1670,"pelajakhi lebe program kae si bahan, baru ni rancang",,Instructions
1671,si pat si bage anak cut mage dewase su jahang me pikekh ketike melakuken bahanen,,Story/narrative
1672,Tanois ni kude berbagi peri sorte sari Banun Lela Bestari. Kire ne kude ni tengah halamen sokhte ne dengen hilang pedoman,,History
1673,"tentune niat ate akhi,tekun khajin dan ulang lupe medoe sebelum memulai",,Instructions
1674,khang tueku edi si paling bekhati sendahnde bagas geluhku,,Story/narrative
1675,"hal si gati ni jengengi sewaktu sesade, tentang mase depan,kune kehidupen ku ni mase depan",,Story/narrative
1676,cakhene ulang penah ngeluh tekhus khajin khit gigih untuk mencape kae si nangat kitr bahani,,Story/narrative
1677,kune pandemhansg ajahah jsjshsh ajshsbey aku pe malet nage ingin mbamu kakhen kau ngo mbali khut iye si aku tandai iye jabav,,Culture/Tourism
1678,kae kin si salah tebheken nibagas dunie nde?,,Story/narrative
1679,luarkh daerah contoh ne bage beras tagi khut daerah lainne,,Culture/Tourism
1680,de nggo kase pul pake basuh mejiie simpan iye tule me kas petame kite buetkenne,,Culture/Tourism
1681,kate ni kalak empung cerite tande alamat akan celake,,History
1682,"untuk ngingetken kite hingge kite megende , jaga mejile negekhite",,Instructions
1683,hampir enggo soh dengen tambahen,,History
1684,tangkap iye mecekhok setiap iye mecekhok gedi pasti edi sip ngat nd,,Instructions
1685,"rajin belajakh, ge ken cekhok khang tue berdoe tebeken allah",,Story/narrative
1686,untung dak kutoh da nasib dak ku pinte aku nde jeme hama wali mu dak,,Story/narrative
1687,si bahan ni khumah ketike aku setiap waktu ni khumah Edi me bersih khumah khut sholat,,Story/narrative
1688,"jagung,,,kakhene taboh amin gakhamen nenge v khase ne taboh Kane",,Story/narrative
1689,sebelum belanje aku catat be tae si malet ni khumah pul di si kae siket tasai bakhu belanje,,Culture/Tourism
1690,khang tue mu Made ngateken aku bue su sebab bue salah ku aku dak pegawe made,,Story/narrative
1691,"nage kesiangen, kase nemu kite toh cekhite taman ndube, kae gat nemu nage kesiangan di gat tuhu kejadienne khut bekasne ni adi",,History
1692,mekhase pilu jadi melakhat,,History
1693,pahte aku tading ni dusun gelinggang lebih baik lah aku mengalih sile,,History
1694,kakhene novel ne nemu menghanyutken kite be cekhite sebenakhne,,Story/narrative
1695,Edi tentu aku senang ?,,Story/narrative
1696,kae peristiwa sejarah si paling menakhik bagi mu dan kene kae?,,History
1697,"mangan bebongi khut mae pae ku, pul edi mu cekhite",,Story/narrative
1698,"Alhamdulillah Dhe bhegedhi kin ,kesempaten nde ndk khoh dhue telu empat lime kali",,Story/narrative
1699,Pakenen bertitah intan permate bage ken bintang datas udare rupe ne elok bukan kepalang sinar memancar  terang benderang,,History
1700,karene pembedeen pendapat si paling utame ne Edi karene misalne si A malet setuju khut pendapat si B Edi me Mahan se terjadi ne perselisihen,,Story/narrative
1701,ketika belande menjajah kute q Edi me terjadi pekhang khut khubat,,History
1702,"kakhene iye mejile,mejile ate ne v sayang iye bangku v",,Story/narrative
1703,Kakhene edi pagi polu edi kese polu ni pelajakhi nie waktu sendah,,Story/narrative
1704,ilmu amin khut pengalaman si ku miliki kane ilmu e malot te tukokh khut sen,,Story/narrative
1705,Untung nasibku enggo me salah bekas bergantung enggo peteplah dengen sari banun nale berganti khase ne putus pengarang hati,,History
1706,cakhe ne bahan makanen e taboh sesuai resep ne khut makanen ne,,Instructions
1707,dengen segere tuan sile ken baginde sedang bertamu makan mege kentitah muda bestari menuju istana raje johari,,History
1708,malet ku toh aku pe bakhu belin mak e mlt pernah cekhite tentang kae pe,,History
1709,kae pelin si nemu mahan kau panek keloken,,Story/narrative
1710,cekhiteken tentang suatu si semakin nitekhime secakhe sosial oleh kalak lain tetapi malet untuk kau,,Story/narrative
1711,kekae pelin keputusen si Kao bahani khut kalak lain,,Story/narrative
1712,cekhiteken tentang bahanen mu wakhi nde paling kao suke,,Story/narrative
1713,pikrkhken go habis kin Kao pikrkhken bage aku jeme ko cinte,,Story/narrative
1714,ni pancung ken pedang kanan dan kiri di dhats bang  ke kude berlalri gagah berani sangatlah garang laskar ne jangki raje jajahen,,History
1715,"standar mejile ne jeme nemu bekhubah bagas waktu segijab, apabile mengguneken bedak ato pe skincare en",,Story/narrative
1716,sebab mbue Kane kalak bosan bace tabohen kap kalak lelo hape sendah,,Story/narrative
1717,"kejadien lucu si pekhnah tekhjadi ni bagas geluh ku mekhayak, cuman salah satu ne, jembe sambil pekhak waktu ni kegiaten jekhiten bongi ato kegiatan Pramuka",,Story/narrative
1718,standakh mejile Edi pekhtame mejile be akhlak te ato pe tingkah laku te bakhu Edi fisik te pe kite perbaiki bahan semakin taboh ni pandang,,Story/narrative
1719,ni datas kude mentar kinantan,,History
1720,"mlt let salah de dunie de,letpe si salah jeme jeme ne,si mlt patuh me agame ne masing masing",,Story/narrative
1721,"si pekhlu ni ketahui e, kas ato pe lokasi bersejakhah salah satu ne gotak silayakh",,Culture/Tourism
1722,kakhne aplikasi Ende let menguntungken ne bagi pengguna ne selain menuangken gagasen ni ande,,Story/narrative
1723,pedalanem me belang khut keluarge ni ketambe makhe mangan mengkale bue adi te bon-bon,,History
1724,wakhi nde aku lajang be jamnis khut imabng mangan mangan,,Story/narrative
1725,kite simege pe sangat kasihen ni penggal kapir macam perolehen,,History
1726,Ibarat ni puter angin lembu bu mate nenek de hancur seribu kendin telu kalak sebuah ayah tulung sodare mu bersusah payah,,History
1727,khase kasih sayang khut kebersamaan si Ndak pernah ni tadingken,,Story/narrative
1728,penah cabut mekhokok lompat pagakh khubat gagoi nakkhu si montok ee mekhamah,,Story/narrative
1729,kae budaye dan pariwisata dapet menjadi alat untuk promosiken keindahan daerah atau negakhe kite,,Culture/Tourism
1730,kue cakhe ne dapet kas mangan kas sie mejile ne ni kas mi,,Story/narrative
1731,ndape aku Nate ku selera Edi Nate ku ku pangan,,Story/narrative
1732,kae plin yang dapet bahanmu kecewe,,Story/narrative
1733,walo v tukang gakhami ganti mu sembukh pan pinangbage,,Story/narrative
1734,ton nae entah kae si cekhitekenpe ooo mungkin tentang status khalak si lot khamahne,,Story/narrative
1735,anak kunci pule ni cabut kene peti peterbuke pade mase ne ni lepas kene pandang yang terang me bungkus dengen kain yang jarang,,History
1736,"hal si aku mempiken malam nde aku mendapat kan gelar S1 dengan mudah, menjadi anak bekhu si paling sukses nemu membahagieken okhang tue",,Story/narrative
1737,"belajakh,menulis,membace Dan melelo de go Kase luakh main",,Story/narrative
1738,tantangen si ku hadapi saat Ende mengejakh cite- cite ku Kane tekhcape,,Story/narrative
1739,melelo khut ayah khut mamak jep wakhi ni tempi ayah khut semohi ayah,,Story/narrative
1740,PPKN mate pelajakhhen si Ndak ku get ti kakhene membahas tentang pasal- pasal sehingge susah untuk ku pahami,,Story/narrative
1741,Sambil meratap tangis tangisen nyawe ne edi hampir go hilang ende me miye alamat paket ken menanggung azab made terbilang.,,History
1742,uwe yeh aman dan tidak nemi dapey poy yang tidak dapat dipisahkan oleh sebuah t belum ku,,Story/narrative
1743,de cakhe ku mendapatken kerjaan me usahe Kane te cape khekhi ne keinginen ku,,Instructions
1744,te nggo kate ken kalak gedi da nggo ungkap ken ne kae si pendem_,,Story/narrative
1745,dengan lot ne media sosisal kite nemu belajakh hayak hal si mende ne,,History
1746,"menukhut mu kae plin hal si polu kau mejile,i di Indonesia kite nde kae naleme ulang mengket kau pe akhus pakek sen",,Story/narrative
1747,"aku seorang duta,  atelet,  guru,  palatih ateletik dan aku pemandu wisata ni ketambe gunung leuser",,Story/narrative
1748,budaya ne bue perbedaan ne bue citok su poin nenmalas kamu bahas se,,Culture/Tourism
1749,sendah de aku mikikhin kune Kase sukses kedepan ne membahagieken kedue okhang tue ku,,Story/narrative
1750,pagi ini aku akan kau lakukan disini saya akan berubah menjadi salah seorang dari r di dunia e dan vitamin e,,Story/narrative
1751,kakhene let pahlawan pahlawan ma biakh menghadapi belande khut jepang,,History
1752,jawabenne ne ee go ni luakh prmikekhen ku ee di kekhi ne nuuu,,Story/narrative
1753,menurut q ulah si Ndak dewase ni bahan khang tue q Edi me mengas khut aku,,Story/narrative
1754,belajakh  de dak belajakh payah dapet bahan ne sedah payah gakham sen v,,Instructions
1755,kue cakhe ne melestarikan cekhok alas daerah nde,,Culture/Tourism
1756,enggo senang pule khase ateku kalak bordad membuaet warte ampun lah patik mahkote ratu fatik pohon ken supeye ne tentu,,History
1757,karene kasih sayang Karene Mende keluarge ku khajin mebahan,,Story/narrative
1758,"khami kata e,  kadang bahas bahas si lucu cekhitene",,Story/narrative
1759,"edi me kase  sendah mbue terjadi anak sendah kawin mude, salah pergaulen",,Culture/Tourism
1760,Ni bulan zulhizah pule nyate lah,,History
1761,"let berbage benda si aku gemakhi salah satune jam, sebab jam e sangat penting bagiku",,Story/narrative
1762,"siapken pekhencanaan matang, pul edi siapken kepokhluen atao pe bahan2 untuk kegiaten",,Instructions
1763,seperti baju batik indah Taboh ato se mantap watne ne,,Story/narrative
1764,dengan mengatukh waktu kase ndak telewatken,,Culture/Tourism
1765,"misalne nde maso Dauh-dauh imbang kite pelin kadang malet get su ate kite, karene kae kadang iye di sok su malet peet ge Ken ne cerokh kite egois su iye, menang sendiri pelin ate ne",,Story/narrative
1766,kae kae plin si kamu ketahui mengenai pandangen politik liberal,,History
1767,kakhene khang tue segalene untuk geluh nde,,Story/narrative
1768,malet kutoh sebab aku oye kalak jawe ape akhi me kotoh de Edi ni tanyak ken,,History
1769,niat ate akhi ni ikhingin khut doe dan ulang mudah menyekhah,,Instructions
1770,cakhe ku meningkatken suah kerjasama ee kakhene keejasama ee penting bagas sebuahh tim,,Story/narrative
1771,"sebhage anak laki aku senang be dhikhiku sebab nak laki sebhage pemimpin bhagas khumah tangge, sebhage pemimpin bhagas kekhine ukhusen",,Story/narrative
1772,Nyawe ni badan engko rele ken Karung khut tubuh mu kami pisah ken Terhenti madah kapir celake Wahe saudare sri paduka,,History
1773,kakhene khajin belajakh khut melatih dikhi ni khumah,,Story/narrative
1774,hari si sempurnae khut aku Edi khut Mae q,,Story/narrative
1775,yaedi dengan cakhe mbabai pasangen ku e khubat,,Story/narrative
1776,"sipaling aku inget dang mase cut kale ketike mange toh soal keuangen,sui ate,khut Ndak nituntut untuk belajakh""",,Story/narrative
1777,ndape gerangen mude bangsawan ni awak sultan enggo mekhante ibrahim pe tangis tangan ne lempe,,History
1778,fisika kakhene pelajakhene sangat khumit bagi kami si malet mudah nangkap ilmu fisika,,Story/narrative
1779,khajin tekun tawaduk ulang mekhase bacakh,,Instructions
1780,cekhiteken gambakhen bentuk tranportasi tradisional si nipakek ni budaye atau daerah kite,,Culture/Tourism
1781,yaedi sewaktu SD die lot sebuah pengalamen ketike imbang SD menembak aku ungkapkene isi atene padahal Edi tong mase anak-anak,,Story/narrative
1782,lelo kakhet lelo berbi siap di lelo masaken pul Edi gakhami bahanen Kase ni leloken bage bunge atau Bulung Bulung lain ne,,Story/narrative
1783,amai pige kali kahi ale nde kau jau ano daku gedi Olin kas ne kas gedu kin kenen ne,,Story/narrative
1784,khajin ibadah kuatken iman khut taqwa kite ulang macam2 ulang mahan si aneh2,,Story/narrative
1785,si malet mu tukokh khut sen edi yawe kebahagien keluarga,,Story/narrative
1786,mangan bonggi khut keluakhge khami kahmi,,Story/narrative
1787,"de dapet juakhe ndak mewayang senang ne, untuk ndapet ken se hakhus khajin khanjin belajakh",,Story/narrative
1788,kune suatu hal nemu njadi pengakhuh mbelin dang kau nukokh bakhang kune gat nemu gedi,,Story/narrative
1789,"khencane kalak dhi, memasangne ni bhagas bagunen untuk nangkihken lawe ndak pekek pompa","rencana orang itu,memasang di dalam bagunan untuk menaikkan air tidak menggunakan pompa",Story/narrative
1790,ni bages pendidikan?,,Story/narrative
1791,kurang ne harge ne mahal malet bage ni pekan mi nawkha harge ne,,Story/narrative
1792,setengah ne tule yakin ni hati,,History
1793,kune menukhutmu tentang tanggung jawab sebagai bekhu?,,Story/narrative
1794,Alhamdulillah sangat baik kekhine sehat-sehat pelin,,Story/narrative
1795,sendah teknologi engo canggih kae pe Nemu ni behani,,Story/narrative
1796,Kalak get me makanen te makanen ne taboh kap ne ni lidah ne unik model ne tule,,Instructions
1797,"menukhut ku mapan e, let pendidiken ne, karier ne, let bahanen tetap untuk menafkahi keluakhge",,Story/narrative
1798,si Nemu niajak mecekhite tebuke dak pebual jemene,,Story/narrative
1799,"jike kao jadi pemimpin, hal kae pelin si Kao tekhapken tekhadap tekhuhen mu",,Story/narrative
1800,cekhiteken kune dampak imigrasi khut migrasi ni sejarah daekhah atau negakhemu?,,History
1801,"Dengan cara berdo'a kepada sang maha kuasa, berusaha khut ulang lupe untuk ber iktiar khut ulang berburuk sangka kepada yg pencipta",,Instructions
1802,kakhene sibuk di khih sandikheneeee  chat khut khamah neeee,,Story/narrative
1803,cakhe mengalihkan dikhi dakhi patah hati adalah dengan cakhe menjauhi seseorang si enggo mahan kite kecewe,,Story/narrative
1804,menukhut mu kae-kae plin si hakhus ko hindakhi ni bagas pernikahen,,Story/narrative
1805,"si paling ku mele ii ni geluh ku nde waktu aku pas celan ni jeme tekhem, dan kekhine jeme tawaii ne aku, edi me sibpaling ku melaii",,Story/narrative
1806,main khut imbang nampang khubat  aduken gat ke mamak,,Story/narrative
1807,ni dape ne aku selere edi mda ku beli makanan ne,,Instructions
1808,kakhene malet ke cocoken nae atau v pak edikin amin jodoh ne,,Story/narrative
1809,kapir ngelawan dengen kelelahen,,History
1810,tentune menikmati suasane kas te lajang khut poto-poto untuk kenangen,,Culture/Tourism
1811,"hal si gati kulakuken saat wakhi sabtu minggu biase ne lakuken kegiaten si bermanfaaat contohne belajakh, ibadah dan lain sebage ne",,Culture/Tourism
1812,bue pekhatiren sendah dak pas su kukap khut jd dak jadi contoh be anak mude kite pagi,,Culture/Tourism
1813,pakek wis ulang emosi gat Edi v Gela ne v melelo,,Story/narrative
1814,hala paling aku favorit kan adalah okhang tue kakhen side si lahalhken dan mbelin ken aku dalhi cut soh mbelin ku,,Story/narrative
1815,dengan cakhe memperbaiki dikhi dan lebih dohokh dengan Allah SWT,,Story/narrative
1816,aku jeme ne jahat pepelin kene hukum ni sekolah,,Story/narrative
1817,sitok pe made lot bekasen,,History
1818,kae kae plin masalah kemasyarakaten si paling kamu biakh hal edi akan tekhajadi,,Story/narrative
1819,"kale pekhang ni jaman penjajahan Belande, mbue Kalak jadi korban ni jadiken sebagai buruh",,History
1820,"de aku tule kotanyak, ape me kutoh kae si ku mimpi ken bongi nahan soalne mange ku alami",,Story/narrative
1821,"kae si mbiakhi Dhe tong dunie nde,akhirat me amin mbiakh kite nekhake e",,Story/narrative
1822,kami laus daghe pekan siap Edi kan kami kn GT laus kmi Aceh tenggara lajang lajang baru kami balik payah kan gat Galang be kijap kase dak payah su,,Story/narrative
1823,"megasi aku te aku lajang lajang khut imbang ku ,popok ne aku te dekah balik me khumah",,Story/narrative
1824,ceriteken pekhan pekhang khut masalah Bagas membentuk sejakhah daekkhah ato pe negakhi mu?,,History
1825,bage istana eee megah murah meriah gedi kadang v de nemu,,Story/narrative
1826,taboh kane nampang malot begedi mr khasene tading ni khumah,,Story/narrative
1827,kite de ni gupuh oleh raje islam ni bagas guhede me kite tenggelam karene sultan sengat berani,,History
1828,"aku hakhus mensyukukhi kae si ni takdekh ken tuhan, si paling utama mengahakhgai iye, memotivasi iye",,Story/narrative
1829,"impien ku nangat jadi Kalak sukses,bahgieken mek Wak ku, bahgieken keluarga ku,Nemu bantu Kalak ni sekitakhen ku,dan aku Nemu gapai cite-cite ku si ku nangati cut akhi",,Story/narrative
1830,si bahan aku berenergi adalah support dakhi okhang tue ku si paling bahan aku semangat dan berenergi,,Story/narrative
